,Unnamed: 0,Tweets,Angry,Fear,Happy,Sad,Surprise
0,0,RT @Vetri_D_Trends: 📢 Exclusive : #TheGrayMan First Release in Theatres US (limited Screen) on July 15 and will be premiere on Netflix on J…,0.0,0.0,0.0,0.0,1.0
1,1,"RT @OSPyoutube: and so netflix, hearing the prophecy of its doom, sacrificed its animation projects and exposed its hype titles on the moun…",0.0,0.5,0.0,0.5,0.0
2,2,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
3,3,RT @netflix: It’s Ryan Gosling vs. Chris Evans in The Gray Man — FIRST LOOK: https://t.co/YWxFRJW62D,0.0,0.5,0.0,0.0,0.5
4,4,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…",0.0,0.4,0.4,0.2,0.0
5,5,"RT @netflix: Russian Doll Season 2 explores individuality, time, space, family, and loss — but if there’s only one thing you take away, let…",0.33,0.0,0.0,0.0,0.67
6,6,"@OrlandoMike1995 @HorrorNightsORL @midnightmass Yeah all tho, there’s rumors about Stranger Things coming to HHN31. But I can see if it works with two Netflix Properties. I mean, The Haunting of hill house haunted house should’ve done Hill house and Bly manor as a house from last year.",0.0,0.33,0.0,0.0,0.67
7,7,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…",0.0,0.4,0.4,0.2,0.0
8,8,"RT @Saismess: Watched #GangubaiKathiawadi, I got a feeling that it's more Alia film than SLB film which is first for me from SLB sir movies…",0.0,0.0,0.0,0.0,1.0
9,9,@freeazuIa OOO it seems rlly fun is it on netflix?,0.0,0.0,0.5,0.5,0.0
10,10,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ,0.0,0.0,0.0,0.5,0.5
11,11,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
12,12,"RT @KollywoodCinima: 1st look of @dhanushkraja from his @netflix film #TheGrayMan 

#Dhanush #KollywoodCinima https://t.co/oF3dlRG0jL",0.0,0.0,0.0,0.0,0.0
13,13,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?",0.33,0.33,0.0,0.33,0.0
14,14,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…",0.0,0.4,0.4,0.2,0.0
15,15,"RT @EricRogersHere: Yo if you live in the UK &amp; have littles, watch my series ""Skylanders Academy"" on the Pop &amp; Tiny Pop channels! Excited t…",0.0,0.0,0.0,0.5,0.5
16,16,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
17,17,"RT @NitheshAntoni: #TheGrayMan
@dhanushkraja
The first look of #Dhanush in the much-awaited #Netflix film #TheGrayMan, starring Ryan Goslin…",0.0,0.0,0.0,0.0,1.0
18,18,@antphrodite The future of Netflix,0.0,0.0,0.0,0.0,0.0
19,19,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ,0.0,0.0,0.0,0.5,0.5
20,20,RT @nadine_jasper: Which is why thankfully we have our own supply and know how to live off the land. Being with a prepper has FINALLY paid…,0.0,1.0,0.0,0.0,0.0
21,21,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…",0.33,0.0,0.0,0.33,0.33
22,22,Fiiiiinished S1 of Komi Can't Communicate! Now to wait for S2 to come to Netflix tomorrow~ 😌 #KomiCantCommunicate,0.0,0.0,0.0,0.0,1.0
23,23,"The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan Directed by @Russo_Brothers Releases on Netflix, July 22nd https://t.co/jaP641ImDa",0.0,0.5,0.0,0.0,0.5
