,Tweets
0,RT @Vetri_D_Trends: 📢 Exclusive : #TheGrayMan First Release in Theatres US (limited Screen) on July 15 and will be premiere on Netflix on J…
1,"RT @OSPyoutube: and so netflix, hearing the prophecy of its doom, sacrificed its animation projects and exposed its hype titles on the moun…"
2,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
3,RT @netflix: It’s Ryan Gosling vs. Chris Evans in The Gray Man — FIRST LOOK: https://t.co/YWxFRJW62D
4,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
5,"RT @netflix: Russian Doll Season 2 explores individuality, time, space, family, and loss — but if there’s only one thing you take away, let…"
6,"@OrlandoMike1995 @HorrorNightsORL @midnightmass Yeah all tho, there’s rumors about Stranger Things coming to HHN31. But I can see if it works with two Netflix Properties. I mean, The Haunting of hill house haunted house should’ve done Hill house and Bly manor as a house from last year."
7,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
8,"RT @Saismess: Watched #GangubaiKathiawadi, I got a feeling that it's more Alia film than SLB film which is first for me from SLB sir movies…"
9,@freeazuIa OOO it seems rlly fun is it on netflix?
10,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
11,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
12,"RT @KollywoodCinima: 1st look of @dhanushkraja from his @netflix film #TheGrayMan 

#Dhanush #KollywoodCinima https://t.co/oF3dlRG0jL"
13,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
14,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
15,"RT @EricRogersHere: Yo if you live in the UK &amp; have littles, watch my series ""Skylanders Academy"" on the Pop &amp; Tiny Pop channels! Excited t…"
16,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
17,"RT @NitheshAntoni: #TheGrayMan
@dhanushkraja
The first look of #Dhanush in the much-awaited #Netflix film #TheGrayMan, starring Ryan Goslin…"
18,@antphrodite The future of Netflix
19,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
20,RT @nadine_jasper: Which is why thankfully we have our own supply and know how to live off the land. Being with a prepper has FINALLY paid…
21,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
22,Fiiiiinished S1 of Komi Can't Communicate! Now to wait for S2 to come to Netflix tomorrow~ 😌 #KomiCantCommunicate
23,"The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan Directed by @Russo_Brothers Releases on Netflix, July 22nd https://t.co/jaP641ImDa"
24,"OMG WHY DID NO ONE WARN ME THAT HEARTSTOPPER IS ALL OF THE EMOTIONS AT ONCE, OMG 😱🫠🥶😭🤬🫡😬🤗🫣😳🤔🙄🤫😶🤡🥳🧐🤓😘😎🤓🥰😍🤪🥲🤣😊😁😵‍💫🤮🤐🤯🥹🤩😱😮😬😔🥴🤧😭

@netflix GET IT TOGETHER BECAUSE WE NEED MORE SEASONS OF THIS SPECIFIC SHOW, BESTIE (#Heartstopper) !!!!!!!!! https://t.co/3wGxK5zIvi"
25,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
26,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
27,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
28,It’s called The Gray Man because the only emotion anyone can muster at yet another shitty action movie with an insane budget trying to capitalize on the names of two of the Ryans and Chrises you all pull out of a hat is sad ambivalence https://t.co/qAE7YDHIv5
29,Netflix really cancelled Raising Dion… Of course they mf did.
30,@hodgetwins And Netflix just can’t figure out why they have lost a whopping 71% in market value in the last 6 months. Yikes. https://t.co/g7alBWYFJB
31,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…"
32,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
33,RT @netflix: This moment of realization in Heartstopper is a crucial reminder that having a few people who love you for who you are is much…
34,"RT @strongblacklead: here's your first look at Regé-Jean Page in Anthony and Joe Russo's film THE GRAY MAN

THE GRAY MAN debuts on July 22…"
35,"RT @Kaushal_rebel: #RadheShyam hindi on Netflix from May 4!

#Prabhas https://t.co/EEUBG0ESZj"
36,"In May 2022, all movies and TV shows will be available on Netflix https://t.co/rXw3JNKJX2"
37,35; Juaal Netflix Disney Anti Hold We TV Trusted #jualnetflix https://t.co/0j4cLsXnhx
38,"RT @Udanshi27: Work, flex, save, sleep, eat, Netflix and chill.

Soft life."
39,"RT @urstanaysuriya: #RadheShyam (Hindi) will be Streaming On NETFLIX from May3rd 🤩

#Prabhas #PoojaHegde https://t.co/NmFEXrkG1a"
40,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
41,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
42,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
43,RT @AshleyShyMiller: Y'all remember that documentary on Netflix about the little girl who got adducted by the neighbor and he was fucking t…
44,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
45,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…"
46,RT @kit_connor: I can’t wait any longer
47,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
48,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
49,"RT @AxeInovich: @madorni Por suerte Spotify, YouTube, Netflix, HBO, etc etc etc son todas cooperativas."
50,"@WatchChad Maybe that will be picked up by @netflix after ""hes expecting"""
51,"RT @Heartstopper_TV: THEY'RE THE MOMENT!!

Heartstopper is now officially certified fresh on rotten tomatoes with 100% critics score, being…"
52,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
53,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
54,"RT @UrsVamsiShekar: Here's The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan 💥

Directed by @Russo_Brothers,
Releasing on Net…"
55,"RT @vamsikaka: The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan Directed by @Russo_Brothers Releases on Netflix, July 22nd h…"
56,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
57,RT @rosealinaof: Te paso a buscar y vemos Pokémon en Netflix? 😈😍 RT https://t.co/TWHhIwYnhI
58,"RT @gthricv: THE FIRST LOOK OF #DHANUSH IN THE GRAY MAN IS HERE .
Starring @ChrisEvans ,@dhanushkraja @RyanGosling
@regejean #AnaDeArmas…"
59,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
60,"RT @Kaushal_rebel: #RadheShyam hindi on Netflix from May 4!

#Prabhas https://t.co/EEUBG0ESZj"
61,Elon Musk Buys Twitter For $44 Billion &amp; Netflix Show “Old Enough” Divides Parents | The Daily Show https://t.co/qjr8uzABHW
62,"@markynuna 5k ready

halo!
aku jual app prem nih 🙀 ada netflix, disney, youtube, spotify, hbo go/max, wetv, viu, iqiyi, canva, scribd, vidio, grammarly, dll!

✔️ aman, legal, proses cepat, trusted 6000+ testi
💸 all e-wallet, qris, bca
💌 dm/wa : https://t.co/6uoOCTMZij https://t.co/Gkhi0Djqh1"
63,The jokes that they tell in TV shows don’t be that funny to me. But I wish they still had “ The Carmichaels” on Netflix because It’s this one episode that I will literally never forget. I never laughed so hard
64,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
65,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
66,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
67,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
68,RT @AngieCoss2002: Pikachu I choose you! Come to my crib so we can watch Netflix or Pokémon 🍑 https://t.co/g5tObvZkpr
69,"RT @kwinroselyn: Looking for a boyfriend that loves anime, Pokémon &amp; Netflix👅🍑 https://t.co/8UPeUyqu0n"
70,RT @netflix: SCREAM (1996) https://t.co/LV6LZar2JH
71,"RT @netflix: The @Russo_Brothers created an epic, globe-hopping action-packed cinematic extravaganza coming your way July 22! 

The Gray Ma…"
72,@yuniibun it's a fucking trial not a netflix series bro😭😭
73,"RT @Chowdrey_: #TheGrayMan 1st Release in Theatres US (limited Screen) on July 15 and will be premiere on @netflix on July 22.

#Dhanush #R…"
74,"RT @MattWagnerComic: GRENDEL--coming this year from Netflix!
#Grendel #Netflix #DarkhorseComics https://t.co/eqWzoObXCv"
75,"RT @NetflixUK: GOSLING 💥 EVANS 💥 DE ARMAS 💥 PAGE
 
THE GRAY MAN, directed by Anthony and Joe Russo, debuts 22 July on Netflix. https://t.co…"
76,@PrakratiKunder @RahJos10 I watched a Netflix series on similar lines High Seas karke. Quite like that one. Hot star I don’t have. Will have to figure out another way to watch this
77,"Which is why thankfully we have our own supply and know how to live off the land. Being with a prepper has FINALLY paid off (oh the ridicule I've suffered😂) We didn't waste 2 yrs of ""covid"" sitting on our ass binge watching Netflix pretending to wfh. Enjoy the upcoming BS. https://t.co/Hx1ZxAAj1y"
78,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…
79,@flowertubb I DONT HAVE NETFLIX
80,"RT @FilmUpdates: Netflix’s ‘HEARTSTOPPER’ is now officially certified fresh on Rotten Tomatoes with a score of 100%

(https://t.co/kqgLxR0J…"
81,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
82,Last day to watch the best Batman movie of all time on Netflix is April 30th #TheDarkKnight
83,@m_rumbie Best thing on Netflix right now 🙌🏾
